question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,answer
"Assess the disciplinary category of this academic contribution: 'Combating Toxic Language: A Review of LLM-Based Strategies for Software   Engineering' (by Hao Zhuo, Yicheng Yang, Kewen Peng). The research summary states: 'Large Language Models (LLMs) have become integral to software engineering (SE), where they are increasingly used in development workflows. However, their widespread use raises concerns about the presence and propagation of toxic language--harmful or offensive content that can foster exclusionary environments. This paper provides a comprehensive review of recent research on toxicity detection and mitigation, focusing on both SE-specific and general-purpose datasets. We examine annotation and preprocessing techniques, assess detection methodologies, and evaluate mitigation strategies, particularly those leveraging LLMs. Additionally, we conduct an ablation study demonstrating the effectiveness of LLM-based rewriting for reducing toxicity. By synthesizing existing work and identifying open challenges, this review highlights key areas for future research to ensure the responsible deployment of LLMs in SE and beyond.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"This academic paper titled 'On Explaining (Large) Language Models For Code Using Global Code-Based   Explanations' by David N. Palacio, Dipin Khati, Daniel Rodriguez-Cardenas, Alejandro Velasco, Denys Poshyvanyk has the abstract: 'In recent years, Language Models for Code (LLM4Code) have significantly changed the landscape of software engineering (SE) on downstream tasks, such as code generation, by making software development more efficient. Therefore, a growing interest has emerged in further evaluating these Language Models to homogenize the quality assessment of generated code. As the current evaluation process can significantly overreact on accuracy-based metrics, practitioners often seek methods to interpret LLM4Code outputs beyond canonical benchmarks. While the majority of research reports on code generation effectiveness in terms of expected ground truth, scant attention has been paid to LLMs' explanations. In essence, the decision-making process to generate code is hard to interpret. To bridge this evaluation gap, we introduce code rationales (Code$Q$), a technique with rigorous mathematical underpinning, to identify subsets of tokens that can explain individual code predictions. We conducted a thorough Exploratory Analysis to demonstrate the method's applicability and a User Study to understand the usability of code-based explanations. Our evaluation demonstrates that Code$Q$ is a powerful interpretability method to explain how (less) meaningful input concepts (i.e., natural language particle `at') highly impact output generation. Moreover, participants of this study highlighted Code$Q$'s ability to show a causal relationship between the input and output of the model with readable and informative explanations on code completion and test generation tasks. Additionally, Code$Q$ also helps to uncover model rationale, facilitating comparison with a human rationale to promote a fair level of trust and distrust in the model.'. Which scientific discipline does it represent?",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"This academic paper titled 'Enhancing Architecture Frameworks by Including Modern Stakeholders and   their Views/Viewpoints' by Armin Moin, Atta Badii, Stephan Günnemann, Moharram Challenger has the abstract: 'Various architecture frameworks for software, systems, and enterprises have been proposed in the literature. They identified several stakeholders and defined modeling perspectives, architecture viewpoints, and views to frame and address stakeholder concerns. However, the stakeholders with data science and Machine Learning (ML) related concerns, such as data scientists and data engineers, are yet to be included in existing architecture frameworks. Only this way can we envision a holistic system architecture description of an ML-enabled system. Note that the ML component behavior and functionalities are special and should be distinguished from traditional software system behavior and functionalities. The main reason is that the actual functionality should be inferred from data instead of being specified at design time. Additionally, the structural models of ML components, such as ML model architectures, are typically specified using different notations and formalisms from what the Software Engineering (SE) community uses for software structural models. Yet, these two aspects, namely ML and non-ML, are becoming so intertwined that it necessitates an extension of software architecture frameworks and modeling practices toward supporting ML-enabled system architectures. In this paper, we address this gap through an empirical study using an online survey instrument. We surveyed 61 subject matter experts from over 25 organizations in 10 countries.'. Which scientific discipline does it represent?",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Determine the academic field of this research work. Paper title: 'Is Hyper-Parameter Optimization Different for Software Analytics?', Researchers: Rahul Yedida, Tim Menzies, Abstract content: 'Yes. SE data can have ""smoother"" boundaries between classes (compared to traditional AI data sets). To be more precise, the magnitude of the second derivative of the loss function found in SE data is typically much smaller. A new hyper-parameter optimizer, called SMOOTHIE, can exploit this idiosyncrasy of SE data. We compare SMOOTHIE and a state-of-the-art AI hyper-parameter optimizer on three tasks: (a) GitHub issue lifetime prediction (b) detecting static code warnings false alarm; (c) defect prediction. For completeness, we also show experiments on some standard AI datasets. SMOOTHIE runs faster and predicts better on the SE data--but ties on non-SE data with the AI tool. Hence we conclude that SE data can be different to other kinds of data; and those differences mean that we should use different kinds of algorithms for our data. To support open science and other researchers working in this area, all our scripts and datasets are available on-line at https://github.com/yrahul3910/smoothness-hpo/.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Based on the research described in 'Discovering Ideologies of the Open Source Software Movement' by Yang Yue, Yi Wang, David Redmiles, with abstract 'Encompassing a diverse population of developers, non-technical users, and other stakeholders, open source software (OSS) development has expanded to broader social movements from the initial product development aims. Ideology, as a coherent system of ideas, offers value commitments and normative implications for any social movement, so do OSS ideologies for the open source movement. However, SE literature on OSS ideology is often fragmented or lacks empirical evidence. We thus developed a comprehensive empirical framework of OSS ideology. Following a grounded theory procedure, we collected and analyzed data from 22 OSS practitioners and 41 video recordings of Open Source Initiative (OSI) board members' public narratives. A framework of OSS ideology emerged with six key categories: membership, norms/values, goals, activities, resources, and positions/group relations; each consists of several themes. With this ideological lens, we discussed the implications and insights into the research and practice of open source.', determine the appropriate scientific category.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Title: 'Next-Gen Software Engineering. Big Models for AI-Augmented Model-Driven   Software Engineering', Authors: Ina K. Schieferdecker, Abstract: 'The effectiveness of model-driven software engineering (MDSE) has been successfully demonstrated in the context of complex software; however, it has not been widely adopted due to the requisite efforts associated with model development and maintenance, as well as the specific modelling competencies required for MDSE. Concurrently, artificial intelligence (AI) methods, particularly deep learning methods, have demonstrated considerable abilities when applied to the huge code bases accessible on open-source coding platforms. The so-called big code provides the basis for significant advances in empirical software engineering, as well as in the automation of coding processes and improvements in software quality with the use of AI. The objective of this paper is to facilitate a synthesis between these two significant domains of software engineering (SE), namely models and AI in SE. The paper provides an overview of the current state of AI-augmented software engineering and develops a corresponding taxonomy, AI4SE. In light of the aforementioned considerations, a vision of AI-assisted Big Models in SE is put forth, with the aim of capitalising on the advantages inherent to both approaches in the context of software development. Finally, the new paradigm of pair modelling in MDSE is proposed.'. Classify the scientific category.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"What scientific field encompasses this research? Paper: 'Measuring SES-related traits relating to technology usage: Two validated   surveys', Author(s): Chimdi Chikezie, Pannapat Chenpaiseng, Puja Agarwal, Sadia Afroz, Bhavika Madhwani, Rudrajit Choudhuri, Andrew Anderson, Prisha Velhal, Patricia Morreale, Christopher Bogart, Anita Sarma, Margaret Burnett, Description: 'Software producers are now recognizing the importance of improving their products' suitability for diverse populations, but little attention has been given to measurements to shed light on products' suitability to individuals below the median socioeconomic status (SES) -- who, by definition, make up half the population. To enable software practitioners to attend to both lower- and higher-SES individuals, this paper provides two new surveys that together facilitate measuring how well a software product serves socioeconomically diverse populations. The first survey (SES-Subjective) is who-oriented: it measures who their potential or current users are in terms of their subjective SES (perceptions of their SES). The second survey (SES-Facets) is why-oriented: it collects individuals' values for an evidence-based set of facet values (individual traits) that (1) statistically differ by SES and (2) affect how an individual works and problem-solves with software products. Our empirical validations with deployments at University A and University B (464 and 522 responses, respectively) showed that both surveys are reliable. Further, our results statistically agree with both ground truth data on respondents' socioeconomic statuses and with predictions from foundational literature. Finally, we explain how the pair of surveys is uniquely actionable by software practitioners, such as in requirements gathering, debugging, quality assurance activities, maintenance activities, and fulfilling legal reporting requirements such as those being drafted by various governments for AI-powered software.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Given the research paper with title 'Should Code Models Learn Pedagogically? A Preliminary Evaluation of   Curriculum Learning for Real-World Software Engineering Tasks' by Kyi Shin Khant, Hong Yi Lin, Patanamon Thongtanunam, and the following abstract: 'Learning-based techniques, especially advanced pre-trained models for code have demonstrated capabilities in code understanding and generation, solving diverse software engineering (SE) tasks. Despite the promising results, current training approaches may not fully optimize model performance, as they typically involve learning from randomly shuffled training data. Recent work shows that Curriculum Learning (CL) can improve performance on code-related tasks through incremental learning based on the difficulty of synthetic code. Yet, the effectiveness of CL with conventional difficulty measures in SE tasks remains largely unexplored. In this study, we explore two conventional code metrics: code length and cyclomatic complexity to determine the difficulty levels. We investigate how the pre-trained code model (CodeT5) learns under CL, through the tasks of code clone detection and code summarization. Our empirical study on the CodeXGLUE benchmark showed contrasting results to prior studies, where the model exhibited signs of catastrophic forgetting and shortcut learning. Surprisingly, model performance saturates after only the first quartile of training, potentially indicating a limit in the model's representation capacity and/or the task's inherent difficulty. Future work should further explore various CL strategies with different code models across a wider range of SE tasks for a more holistic understanding.', classify this work into its appropriate scientific domain.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Evaluate and categorize this research contribution: 'On the Workflows and Smells of Leaderboard Operations (LBOps): An   Exploratory Study of Foundation Model Leaderboards' by Zhimin Zhao, Abdul Ali Bangash, Filipe Roseiro Côgo, Bram Adams, Ahmed E. Hassan. Research summary: 'Foundation models (FM), such as large language models (LLMs), which are large-scale machine learning (ML) models, have demonstrated remarkable adaptability in various downstream software engineering (SE) tasks, such as code completion, code understanding, and software development. As a result, FM leaderboards have become essential tools for SE teams to compare and select the best third-party FMs for their specific products and purposes. However, the lack of standardized guidelines for FM evaluation and comparison threatens the transparency of FM leaderboards and limits stakeholders' ability to perform effective FM selection. As a first step towards addressing this challenge, our research focuses on understanding how these FM leaderboards operate in real-world scenarios (""leaderboard operations"") and identifying potential pitfalls and areas for improvement (""leaderboard smells""). In this regard, we collect up to 1,045 FM leaderboards from five different sources: GitHub, Hugging Face Spaces, Papers With Code, spreadsheet and independent platform, to examine their documentation and engage in direct communication with leaderboard operators to understand their workflows. Through card sorting and negotiated agreement, we identify five distinct workflow patterns and develop a domain model that captures the key components and their interactions within these workflows. We then identify eight unique types of leaderboard smells in LBOps. By mitigating these smells, SE teams can improve transparency, accountability, and collaboration in current LBOps practices, fostering a more robust and responsible ecosystem for FM comparison and selection.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Examine this research paper and identify its scientific classification. The work 'Assessing the Use of AutoML for Data-Driven Software Engineering' by Fabio Calefato, Luigi Quaranta, Filippo Lanubile, Marcos Kalinowski presents: 'Background. Due to the widespread adoption of Artificial Intelligence (AI) and Machine Learning (ML) for building software applications, companies are struggling to recruit employees with a deep understanding of such technologies. In this scenario, AutoML is soaring as a promising solution to fill the AI/ML skills gap since it promises to automate the building of end-to-end AI/ML pipelines that would normally be engineered by specialized team members. Aims. Despite the growing interest and high expectations, there is a dearth of information about the extent to which AutoML is currently adopted by teams developing AI/ML-enabled systems and how it is perceived by practitioners and researchers. Method. To fill these gaps, in this paper, we present a mixed-method study comprising a benchmark of 12 end-to-end AutoML tools on two SE datasets and a user survey with follow-up interviews to further our understanding of AutoML adoption and perception. Results. We found that AutoML solutions can generate models that outperform those trained and optimized by researchers to perform classification tasks in the SE domain. Also, our findings show that the currently available AutoML solutions do not live up to their names as they do not equally support automation across the stages of the ML development workflow and for all the team members. Conclusions. We derive insights to inform the SE research community on how AutoML can facilitate their activities and tool builders on how to design the next generation of AutoML technologies.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Determine the academic field of this research work. Paper title: 'CodeComplex: Dataset for Worst-Case Time Complexity Prediction', Researchers: Seung-Yeop Baik, Joonghyuk Hahn, Jungin Kim, Mingi Jeon, Aditi, Yo-Sub Han, Sang-Ki Ko, Abstract content: 'Reasoning ability of Large Language Models (LLMs) is a crucial ability, especially in complex decision-making tasks. One significant task to show LLMs' reasoning capability is code time complexity prediction, which involves various intricate factors such as the input range of variables and conditional loops. Current benchmarks fall short of providing a rigorous assessment due to limited data, language constraints, and insufficient labeling. They do not consider time complexity based on input representation and merely evaluate whether predictions fall into the same class, lacking a measure of how close incorrect predictions are to the correct ones. To address these dependencies, we introduce CodeComplex, the first robust and extensive dataset designed to evaluate LLMs' reasoning abilities in predicting code time complexity. CodeComplex comprises 4,900 Java codes and an equivalent number of Python codes, overcoming language and labeling constraints, carefully annotated with complexity labels based on input characteristics by a panel of algorithmic experts. Additionally, we propose specialized evaluation metrics for the reasoning of complexity prediction tasks, offering a more precise and reliable assessment of LLMs' reasoning capabilities. We release our dataset (https://github.com/sybaik1/CodeComplex-Data) and baseline models (https://github.com/sybaik1/CodeComplex-Models) publicly to encourage the relevant (NLP, SE, and PL) communities to utilize and participate in this research.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"What scientific field encompasses this research? Paper: 'Insights from the Frontline: GenAI Utilization Among Software   Engineering Students', Author(s): Rudrajit Choudhuri, Ambareesh Ramakrishnan, Amreeta Chatterjee, Bianca Trinkenreich, Igor Steinmacher, Marco Gerosa, Anita Sarma, Description: 'Generative AI (genAI) tools (e.g., ChatGPT, Copilot) have become ubiquitous in software engineering (SE). As SE educators, it behooves us to understand the consequences of genAI usage among SE students and to create a holistic view of where these tools can be successfully used. Through 16 reflective interviews with SE students, we explored their academic experiences of using genAI tools to complement SE learning and implementations. We uncover the contexts where these tools are helpful and where they pose challenges, along with examining why these challenges arise and how they impact students. We validated our findings through member checking and triangulation with instructors. Our findings provide practical considerations of where and why genAI should (not) be used in the context of supporting SE students.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Title: 'Software Engineering Educational Experience in Building an Intelligent   Tutoring System', Authors: Zhiyu Fan, Yannic Noller, Ashish Dandekar, Abhik Roychoudhury, Abstract: 'The growing number of students enrolling in Computer Science (CS) programmes is pushing CS educators to their limits. This poses significant challenges to computing education, particularly the teaching of introductory programming and advanced software engineering (SE) courses. First-year programming courses often face overwhelming enrollments, including interdisciplinary students who are not CS majors. The high teacher-to-student ratio makes it challenging to provide timely and high-quality feedback. Meanwhile, software engineering education comes with inherent difficulties like acquiring industry partners and the dilemma that such software projects are often under or over-specified and one-time efforts within one team or one course. To address these challenges, we designed a novel foundational SE course. This SE course envisions building a full-fledged Intelligent Tutoring System (ITS) of Programming Assignments to provide automated, real-time feedback for novice students in programming courses over multiple years. Each year, SE students contribute to specific short-running SE projects that improve the existing ITS implementation, while at the same time, we can deploy the ITS for usage by students for learning programming. This project setup builds awareness among SE students about their contribution to a ""to-be-deployed"" software project. In this multi-year teaching effort, we have incrementally built an ITS that is now deployed in various programming courses. This paper discusses the Intelligent Tutoring System architecture, our teaching concept in the SE course, our experience with the built ITS, and our view of future computing education.'. Classify the scientific category.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Determine the academic field of this research work. Paper title: 'Diversity in Software Engineering Education: Exploring Motivations,   Influences, and Role Models Among Undergraduate Students', Researchers: Ronnie de Souza Santos, Italo Santos, Robson Santos, Cleyton Magalhaes, Abstract content: 'Software engineering (SE) faces significant diversity challenges in both academia and industry, with underrepresented students encountering hostile environments, limited representation, and systemic biases that hinder their academic and professional success. Despite significant research on the exclusion experienced by students from underrepresented groups in SE education, there is limited understanding of the specific motivations, influences, and role models that drive underrepresented students to pursue and persist in the field. This study explores the motivations and influences shaping the career aspirations of students from underrepresented groups in SE, and it investigates how role models and mentorship impact their decisions to stay in the field. We conducted a cross-sectional survey with undergraduate SE students and related fields, focusing on their motivations, influences, and the impact of mentorship and role models on their career paths. We identified eight motivations for pursuing SE, with career advancement, technological enthusiasm, and personal growth being the most common. Family members, tech influencers, teachers, and friends were key influences, though 64\% of students reported no specific individual influence. Role models, particularly tech influencers and family members play a critical role in sustaining interest in the field, especially for underrepresented groups. This study provides insights into the varied motivations and influences that guide underrepresented students' decisions to pursue SE. It emphasizes the importance of role models and highlights the need for intersectional approaches to better support diversity in the field.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"What scientific field encompasses this research? Paper: 'Perspective of Software Engineering Researchers on Machine Learning   Practices Regarding Research, Review, and Education', Author(s): Anamaria Mojica-Hanke, David Nader Palacio, Denys Poshyvanyk, Mario Linares-Vásquez, Steffen Herbold, Description: 'Context: Machine Learning (ML) significantly impacts Software Engineering (SE), but studies mainly focus on practitioners, neglecting researchers. This overlooks practices and challenges in teaching, researching, or reviewing ML applications in SE.   Objective: This study aims to contribute to the knowledge, about the synergy between ML and SE from the perspective of SE researchers, by providing insights into the practices followed when researching, teaching, and reviewing SE studies that apply ML.   Method: We analyzed SE researchers familiar with ML or who authored SE articles using ML, along with the articles themselves. We examined practices, SE tasks addressed with ML, challenges faced, and reviewers' and educators' perspectives using grounded theory coding and qualitative analysis.   Results: We found diverse practices focusing on data collection, model training, and evaluation. Some recommended practices (e.g., hyperparameter tuning) appeared in less than 20\% of literature. Common challenges involve data handling, model evaluation (incl. non-functional properties), and involving human expertise in evaluation. Hands-on activities are common in education, though traditional methods persist.   Conclusion: Despite accepted practices in applying ML to SE, significant gaps remain. By enhancing guidelines, adopting diverse teaching methods, and emphasizing underrepresented practices, the SE community can bridge these gaps and advance the field.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Your task is to classify this academic paper into its scientific domain. Details: Title 'Biases in gendered citation practices: an exploratory study and some   reflections on the Matthew and Matilda effects', Authors Karolina Tchilinguirova, Alvine Boaye Belle, Gouled Mahamud, Abstract 'Recent studies conducted in different scientific disciplines have concluded that researchers belonging to some socio-cultural groups (e.g., women, racialized people) are usually less cited than other researchers belonging to dominating groups. This is usually due to the presence of citation biases in reference lists. These citation biases towards researchers from some socio-cultural groups may inevitably cause unfairness and inaccuracy in the assessment of articles impact. These citation biases may therefore translate to significant disparities in promotion, retention, grant funding, awards, collaborative opportunities, and publications. In this paper, we conduct the first study aiming at analyzing gendered citation practices in the software engineering (SE) literature. Our study allows reflecting on citations practices adopted in the SE field and serves as a starting point for more robust empirical studies on the analyzed topic. Our results show that some efforts still need to be done to achieve fairness in citation practices in the SE field. Such efforts may notably consist in the inclusion of citation diversity statements in manuscripts submitted for publication in SE journals and conferences.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Your task is to classify this academic paper into its scientific domain. Details: Title 'CodeSAM: Source Code Representation Learning by Infusing Self-Attention   with Multi-Code-View Graphs', Authors Alex Mathai, Kranthi Sedamaki, Debeshee Das, Noble Saji Mathews, Srikanth Tamilselvam, Sridhar Chimalakonda, Atul Kumar, Abstract 'Machine Learning (ML) for software engineering (SE) has gained prominence due to its ability to significantly enhance the performance of various SE applications. This progress is largely attributed to the development of generalizable source code representations that effectively capture the syntactic and semantic characteristics of code. In recent years, pre-trained transformer-based models, inspired by natural language processing (NLP), have shown remarkable success in SE tasks. However, source code contains structural and semantic properties embedded within its grammar, which can be extracted from structured code-views like the Abstract Syntax Tree (AST), Data-Flow Graph (DFG), and Control-Flow Graph (CFG). These code-views can complement NLP techniques, further improving SE tasks. Unfortunately, there are no flexible frameworks to infuse arbitrary code-views into existing transformer-based models effectively. Therefore, in this work, we propose CodeSAM, a novel scalable framework to infuse multiple code-views into transformer-based models by creating self-attention masks. We use CodeSAM to fine-tune a small language model (SLM) like CodeBERT on the downstream SE tasks of semantic code search, code clone detection, and program classification. Experimental results show that by using this technique, we improve downstream performance when compared to SLMs like GraphCodeBERT and CodeBERT on all three tasks by utilizing individual code-views or a combination of code-views during fine-tuning. We believe that these results are indicative that techniques like CodeSAM can help create compact yet performant code SLMs that fit in resource constrained settings.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"Based on the title 'Ethical software requirements from user reviews: A systematic literature   review', authors 'Aakash Sorathiya, Gouri Ginde', and abstract 'Context: The growing focus on ethics within SE, primarily due to the significant reliance of individuals' lives on software and the consequential social and ethical considerations that impact both people and society has brought focus on ethical software requirements identification and elicitation. User safety, privacy, and security concerns are of prime importance while developing software due to the widespread use of software across healthcare, education, and business domains. Thus, identifying and elicitating ethical software requirements from app user reviews, focusing on various aspects such as privacy, security, accountability, accessibility, transparency, fairness, safety, and social solidarity, are essential for developing trustworthy software solutions. Objective: This SLR aims to identify and analyze existing ethical requirements identification and elicitation techniques in the context of the formulated research questions. Method: We conducted an SLR based on Kitchenham et al's methodology. We identified and selected 47 primary articles for this study based on a predefined search protocol. Result: Ethical requirements gathering has recently driven drastic interest in the research community due to the rise of ML and AI-based approaches in decision-making within software applications. This SLR provides an overview of ethical requirements identification techniques and the implications of extracting and addressing them. This study also reports the data sources used for analyzing user reviews. Conclusion: This SLR provides an understanding of the ethical software requirements and underscores the importance of user reviews in developing trustworthy software. The findings can also help inform future research and guide software engineers or researchers in addressing software ethical requirements.', please determine the scientific category of this paper.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
"What scientific field encompasses this research? Paper: 'GitSEED: A Git-backed Automated Assessment Tool for Software Engineering   and Programming Education', Author(s): Pedro Orvalho, Mikoláš Janota, Vasco Manquinho, Description: 'Due to the substantial number of enrollments in programming courses, a key challenge is delivering personalized feedback to students. The nature of this feedback varies significantly, contingent on the subject and the chosen evaluation method. However, tailoring current Automated Assessment Tools (AATs) to integrate other program analysis tools is not straightforward. Moreover, AATs usually support only specific programming languages, providing feedback exclusively through dedicated websites based on test suites.   This paper introduces GitSEED, a language-agnostic automated assessment tool designed for Programming Education and Software Engineering (SE) and backed by GitLab. The students interact with GitSEED through GitLab. Using GitSEED, students in Computer Science (CS) and SE can master the fundamentals of git while receiving personalized feedback on their programming assignments and projects. Furthermore, faculty members can easily tailor GitSEED's pipeline by integrating various code evaluation tools (e.g., memory leak detection, fault localization, program repair, etc.) to offer personalized feedback that aligns with the needs of each CS/SE course. Our experiments assess GitSEED's efficacy via comprehensive user evaluation, examining the impact of feedback mechanisms and features on student learning outcomes. Findings reveal positive correlations between GitSEED usage and student engagement.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,G
